type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,3ff71912-1d8a-48cc-a8a2-bfdc46ebe9d7,ACTIVE,2024-04-03T16:31:11Z,2024-04-01T19:20:22Z,70,31000,51.301126,12.395689,20,LEIPZIG,372941,ninebot_g3,311IIC,True,escooter,False,False
vehicle,806db3d9-88d0-49ca-993c-8b4484a06ef9,ACTIVE,2024-04-03T16:34:13Z,2024-04-01T20:13:59Z,32,10000,51.316638,12.378143,20,LEIPZIG,372954,ninebot_g3,031IIC,True,escooter,False,False
vehicle,583d8c55-bbf8-4fb6-ba6d-5ca3a073151a,ACTIVE,2024-04-03T16:39:47Z,2024-04-02T21:09:57Z,90,42000,51.32402,12.400274,20,LEIPZIG,372958,ninebot_g3,147IIC,True,escooter,False,False
vehicle,8913a4c1-8d65-42bc-b21b-45fced843da3,ACTIVE,2024-04-03T14:44:37Z,2024-03-29T17:01:34Z,88,41000,51.345425,12.406509,20,LEIPZIG,372982,ninebot_g3,443IIC,True,escooter,False,False
vehicle,cd35181e-a501-49f6-8b3a-8f7586a86877,ACTIVE,2024-04-03T15:03:59Z,2024-04-01T20:37:28Z,88,41000,51.319051,12.388654,20,LEIPZIG,373019,ninebot_g3,330IIC,True,escooter,False,False
vehicle,52f0808b-a635-4e2a-91bd-57f49f2302c9,ACTIVE,2024-04-03T16:18:10Z,2024-03-24T06:28:38Z,30,9000,51.302794,12.426263,20,LEIPZIG,373064,ninebot_g3,397IIC,True,escooter,False,False
vehicle,a709807a-f255-452a-917e-4edbe7e4f15a,ACTIVE,2024-04-03T15:48:28Z,2024-04-01T21:25:08Z,73,32000,51.343841,12.428648,20,LEIPZIG,373087,ninebot_g3,427IIC,True,escooter,False,False
vehicle,94dbd15e-a50d-402a-b56c-a4b865e961b8,ACTIVE,2024-04-03T16:42:46Z,2024-04-02T19:54:00Z,81,37000,51.332258,12.373938,20,LEIPZIG,373237,ninebot_g3,017IIC,True,escooter,False,False
vehicle,600ab1de-7989-4ad9-8e56-17d88cfb4457,ACTIVE,2024-04-03T16:16:44Z,2024-03-25T23:55:21Z,50,20000,51.367166,12.367326,20,LEIPZIG,373698,ninebot_g3,222IIC,True,escooter,False,False
vehicle,ce02aa59-3b3d-4cc7-b802-80e58cadb754,ACTIVE,2024-04-03T16:15:13Z,2024-03-26T23:35:58Z,25,6000,51.332298,12.339236,20,LEIPZIG,373712,ninebot_g3,342IIC,True,escooter,False,False
vehicle,83d9c67e-d970-4214-8f51-b9a3970f2f6e,ACTIVE,2024-04-03T15:50:45Z,2024-04-01T19:14:56Z,83,38000,51.301209,12.384523,20,LEIPZIG,373726,ninebot_g3,219IIC,True,escooter,False,False
vehicle,0fd88fa8-d2e0-4439-b252-b36bd160bdad,ACTIVE,2024-04-03T16:25:32Z,2024-04-03T13:24:54Z,75,34000,51.363911,12.402482,20,LEIPZIG,373815,ninebot_g3,020IIC,True,escooter,False,False
vehicle,5f611824-1386-428b-999d-3154d9189e31,ACTIVE,2024-04-03T16:06:35Z,2024-03-29T21:49:38Z,35,12000,51.306454,12.396182,20,LEIPZIG,373821,ninebot_g3,101IIC,True,escooter,False,False
vehicle,7b617e84-ad36-4466-b1cb-5036d4e30a7b,ACTIVE,2024-04-03T16:27:29Z,2024-04-02T00:49:49Z,89,41000,51.366612,12.350193,20,LEIPZIG,373842,ninebot_g3,279IIC,True,escooter,False,False
vehicle,a1c1f4ec-6440-40a3-a8d0-18b4cfcfad32,ACTIVE,2024-04-03T15:53:03Z,2024-04-02T21:16:32Z,47,18000,51.33217,12.395431,20,LEIPZIG,373845,ninebot_g3,386IIC,True,escooter,False,False
vehicle,1b28a810-dfdb-4ef2-99c2-4409cbbe7b58,ACTIVE,2024-04-03T16:14:16Z,2024-04-03T00:08:21Z,34,11000,51.343843,12.428541,20,LEIPZIG,373875,ninebot_g3,272IIC,True,escooter,False,False
